sr,rr,t,lm,bo,rem,sr.1,hr,sl
86.01,24.98,97.18,14.55,91.66,92.18,3.52,84.86,3
98.89,25.68,98.96,17.67,89.05,103.72,2.51,96.57,4
68.58,19.85,94.74,6.48,96.29,74.16,6.74,67.6,1
64.11,20.11,93.99,8.87,96.54,77.2,6.11,70.93,1
93.59,27.97,98.83,16.16,82.49,114.29,2.62,96.61,4
95.68,25.97,98.58,17.13,84.7,116.95,2.21,89.08,4
90.21,26.91,98.36,17.3,84.65,107.99,2.43,94.9,4
56.71,18.06,93.89,5.26,96.58,68.38,8.25,58.98,0
71.6,19.88,95.25,10.76,93.19,84.39,5.27,77.7,2
95.47,24.94,99.17,16.78,87.47,104.77,3.29,90.98,4
47.82,17.32,92.96,6.14,96.91,63.92,6.88,57.11,0
56.56,16.36,93.83,5.39,97.87,61.28,7.47,62.3,0
68.65,21.15,96.78,10.88,91.58,78.3,5.31,78.21,2
67.88,18.62,93.97,7.28,95.78,69.64,7.13,70.45,1
78.94,21.71,96.42,10.0,93.04,83.86,6.27,73.45,2
60.38,18.74,94.26,7.48,95.88,67.04,7.64,64.48,0
62.28,18.58,95.42,7.69,95.45,75.43,6.45,62.44,1
84.25,22.7,97.5,15.63,88.92,92.64,4.89,82.15,3
88.83,26.07,98.11,19.5,82.56,106.18,2.12,96.95,4
80.14,23.87,97.21,12.44,88.5,97.63,3.82,82.23,3
56.19,19.13,94.48,6.66,95.78,78.14,6.9,67.74,1
91.53,23.87,97.11,13.89,90.01,91.25,4.96,86.99,3
65.69,22.17,95.45,11.16,93.56,80.03,4.78,74.52,2
56.18,17.56,92.3,7.01,98.03,57.94,7.68,63.8,0
99.2,26.51,98.98,16.0,88.53,114.92,1.86,90.66,4
57.14,18.18,94.03,9.1,94.69,66.37,6.59,62.06,1
70.07,18.63,95.19,10.07,95.03,75.32,6.87,64.39,1
64.22,18.38,94.91,8.57,95.82,72.77,6.92,62.48,1
59.94,18.07,95.2,6.95,96.27,69.68,6.71,68.4,1
57.42,19.08,93.88,7.46,96.09,77.33,6.21,65.9,1
69.19,18.56,94.5,6.38,95.61,67.15,7.52,63.48,1
55.35,16.85,93.44,5.64,97.03,60.67,7.46,65.53,0
88.3,25.11,97.63,19.52,85.34,113.36,2.64,93.18,4
68.42,21.9,96.47,9.85,94.54,85.33,5.27,80.33,2
79.87,22.58,95.09,9.31,92.86,83.71,5.05,73.53,2
84.2,23.54,97.15,14.6,89.34,104.91,4.18,83.16,3
70.8,21.11,95.29,9.44,92.59,80.6,5.83,79.13,2
80.69,23.04,96.69,15.31,88.58,103.06,3.93,82.96,3
91.64,28.36,98.06,19.67,83.85,111.42,2.39,89.81,4
97.97,29.1,98.28,16.14,84.39,112.77,2.19,104.41,4
56.91,17.32,93.48,4.79,97.37,57.27,8.95,62.14,0
62.81,19.66,94.32,9.14,94.78,79.88,6.38,64.8,1
52.89,18.32,93.34,5.24,96.42,58.85,7.01,60.1,0
83.51,25.52,96.27,11.88,87.34,95.98,3.27,84.35,3
69.88,20.17,95.66,9.87,95.1,76.68,4.98,74.5,2
71.61,20.02,95.03,12.39,92.0,80.58,4.9,80.2,2
54.91,16.49,92.4,4.23,97.88,65.15,8.88,58.71,0
92.33,28.83,97.96,20.09,82.67,117.16,2.72,89.01,4
68.36,22.21,95.22,11.01,91.35,84.57,4.8,70.43,2
92.27,28.67,98.93,16.03,86.3,104.17,1.63,100.41,4
57.92,19.48,94.32,9.12,95.25,65.16,6.24,67.62,1
59.21,18.44,93.65,5.21,97.9,58.21,8.12,63.32,0
53.23,18.17,94.2,6.84,95.99,73.09,7.87,65.52,1
96.44,28.46,99.53,17.61,84.89,110.0,3.41,95.8,4
79.1,21.52,95.47,9.18,91.54,86.25,5.09,71.52,2
46.41,16.96,93.74,5.56,95.98,56.26,8.81,61.7,0
88.74,22.65,96.49,14.17,91.7,91.01,3.57,80.95,3
68.98,20.31,96.48,10.25,91.52,78.16,5.68,74.09,2
79.6,21.6,96.93,12.06,91.94,76.22,4.82,72.81,2
87.97,23.33,98.03,13.65,87.83,96.63,4.87,89.09,3
65.52,20.84,95.96,11.66,92.07,89.68,5.31,69.85,2
99.69,29.38,98.22,16.64,86.28,106.74,2.95,100.53,4
84.08,21.95,96.74,14.83,91.06,93.13,3.87,82.23,3
91.67,27.23,97.9,16.13,85.35,108.67,2.8,94.38,4
78.43,20.5,95.44,11.8,91.98,82.65,5.31,73.52,2
51.69,16.62,92.26,5.1,96.81,66.66,7.32,55.03,0
91.77,28.96,97.82,17.68,88.1,111.8,1.82,103.84,4
70.01,21.46,95.81,10.57,92.79,88.7,6.36,71.08,2
48.84,16.87,93.71,5.56,96.79,60.29,8.79,60.79,0
78.09,20.49,95.19,10.89,92.51,81.68,5.42,71.39,2
84.07,24.48,97.01,15.54,86.97,99.51,3.22,80.96,3
94.3,26.01,97.99,17.67,88.81,109.19,3.07,86.42,4
92.56,27.87,97.91,19.05,83.72,114.06,1.35,94.22,4
57.47,17.64,92.15,4.78,96.39,55.7,7.24,61.6,0
82.13,24.0,96.28,11.74,89.81,91.01,4.32,86.07,3
55.04,17.59,92.68,4.27,97.78,59.94,8.67,60.79,0
62.38,19.29,95.27,8.15,94.21,66.74,6.24,68.88,1
85.51,25.54,96.78,14.72,88.48,96.01,3.49,81.16,3
97.4,28.58,98.62,18.17,88.55,102.09,2.18,90.91,4
53.74,17.07,94.12,5.81,96.88,55.63,7.8,61.67,0
68.51,20.92,96.34,10.36,91.35,83.46,6.38,80.4,2
48.01,18.17,92.85,5.91,96.78,66.29,8.7,55.17,0
88.22,29.06,98.2,19.79,88.22,113.27,1.48,92.33,4
90.92,24.37,96.97,16.43,89.14,97.28,4.32,80.92,3
99.62,29.48,97.48,16.33,82.16,102.69,3.81,91.9,4
86.67,24.18,97.79,12.17,87.76,93.79,3.75,80.99,3
51.53,17.68,94.11,4.33,96.17,61.61,7.43,62.38,0
70.49,20.8,96.44,10.21,92.12,86.72,6.02,71.86,2
71.06,20.9,96.71,12.71,93.57,89.03,6.52,76.72,2
76.72,21.41,95.25,8.92,91.56,80.95,5.08,75.73,2
85.5,22.28,96.9,14.39,89.01,91.01,4.01,86.15,3
64.46,19.86,94.11,6.98,94.81,68.59,7.02,66.65,1
78.77,19.44,96.7,11.57,92.81,75.06,5.5,69.77,2
63.1,18.66,94.69,7.78,95.01,67.8,6.47,71.96,1
95.63,27.97,99.28,19.62,88.84,105.24,3.11,91.02,4
67.36,18.56,94.37,9.43,95.69,74.86,6.53,62.63,1
81.49,22.56,97.62,13.93,89.51,102.74,4.13,86.18,3
70.43,22.11,95.88,9.15,90.8,87.01,4.89,78.58,2
54.56,17.37,92.15,5.83,97.61,58.48,8.39,63.85,0
84.45,24.62,96.85,12.27,89.53,89.89,4.77,81.02,3
59.28,17.53,92.65,4.23,96.45,68.17,8.42,61.11,0
90.78,26.64,97.81,16.41,82.94,102.68,3.2,90.42,4
62.27,18.35,95.15,8.74,94.97,65.93,6.16,69.34,1
82.89,25.39,97.35,13.76,90.05,102.3,3.85,85.77,3
56.94,17.5,92.11,5.66,96.28,68.55,7.18,66.13,0
90.29,24.32,96.61,14.13,87.76,100.82,4.54,87.51,3
64.38,18.29,95.49,7.7,95.19,72.33,6.63,67.02,1
70.29,22.04,95.06,12.24,92.95,84.42,6.56,74.93,2
67.54,19.91,94.08,6.39,95.58,69.0,5.97,68.77,1
81.84,25.1,97.75,13.1,88.75,91.1,3.08,79.58,3
92.4,28.01,97.96,16.96,86.55,120.4,3.69,97.96,4
83.08,23.91,96.81,15.0,91.25,103.14,3.75,85.38,3
55.23,19.29,95.03,7.17,94.34,65.58,6.34,70.72,1
78.69,20.97,95.49,10.2,92.53,83.56,5.74,70.19,2
87.34,25.06,97.48,14.0,90.72,103.0,3.5,87.35,3
46.96,17.15,92.97,5.69,97.02,68.99,8.61,56.84,0
54.31,18.3,93.3,5.32,96.53,59.71,7.35,57.59,0
68.86,19.64,95.13,6.36,95.8,70.61,7.37,68.85,1
78.0,23.68,97.0,13.61,90.4,99.3,3.48,80.69,3
92.78,27.47,98.78,17.83,84.51,115.17,4.07,99.97,4
87.79,23.72,96.11,12.85,91.43,101.73,4.5,83.7,3
47.46,17.29,93.49,6.66,97.82,59.98,7.92,59.23,0
87.41,24.89,96.24,13.74,91.55,98.97,4.52,80.99,3
84.67,23.79,96.36,14.37,89.0,93.61,4.86,83.01,3
58.86,17.94,92.72,6.62,97.3,64.34,8.99,63.2,0
69.0,19.53,94.11,6.24,95.5,76.59,7.2,64.39,1
71.73,20.41,95.43,11.9,93.38,83.88,5.96,77.68,2
59.99,16.39,92.33,4.18,96.1,60.32,7.99,63.02,0
66.07,19.28,95.13,10.19,96.06,67.87,6.07,66.02,1
63.25,19.56,94.07,8.82,94.19,69.4,6.39,64.64,1
45.51,17.41,94.05,4.69,97.35,63.91,7.94,58.67,0
64.89,18.59,94.33,7.82,94.52,70.71,6.82,64.36,1
79.21,24.84,98.02,14.44,89.15,99.58,4.55,86.65,3
99.41,25.66,97.89,16.49,88.31,118.1,2.06,101.9,4
75.01,20.19,95.09,10.17,93.65,82.04,5.9,72.18,2
87.1,23.81,97.14,13.87,88.37,95.84,4.12,83.95,3
89.82,24.12,97.4,15.26,89.16,103.44,4.86,82.7,3
57.62,18.07,95.23,7.4,95.92,75.71,7.07,62.74,1
54.19,16.9,92.42,5.33,96.94,66.15,7.3,64.52,0
86.46,23.29,96.53,12.52,91.57,101.8,4.31,89.05,3
56.06,19.43,94.3,8.24,95.95,77.73,6.83,70.68,1
85.44,24.48,96.31,14.68,88.76,106.09,4.03,90.29,3
81.2,22.46,97.74,14.67,89.06,101.57,4.55,82.98,3
74.18,20.87,95.23,12.0,92.63,75.55,5.57,70.9,2
49.38,17.8,93.59,5.6,96.71,57.79,7.21,64.21,0
73.95,22.8,96.37,9.29,91.21,76.87,6.34,72.06,2
75.03,21.0,95.71,11.32,93.4,78.51,5.5,74.76,2
80.45,21.83,97.03,11.86,91.44,89.81,5.23,83.01,3
56.67,17.72,93.79,4.37,96.86,64.53,8.39,59.5,0
98.65,27.77,97.77,18.0,84.12,116.16,3.61,95.97,4
94.62,28.63,98.32,16.42,83.3,120.09,1.54,96.37,4
52.36,17.16,93.48,6.06,96.49,65.32,8.89,58.97,0
63.21,17.94,94.39,7.89,95.38,72.73,7.33,62.24,1
45.84,17.37,92.93,4.47,96.35,57.54,7.1,63.32,0
86.89,24.21,96.79,15.07,88.47,88.32,4.88,78.29,3
57.95,18.13,93.69,4.39,96.86,59.52,9.11,56.56,0
57.5,18.33,94.44,9.62,94.95,79.68,5.79,70.64,1
87.02,22.84,98.12,12.5,87.61,99.61,4.48,78.65,3
76.35,20.51,95.83,10.16,92.35,77.32,6.43,70.89,2
56.91,17.08,92.93,6.05,96.94,56.9,8.22,59.87,0
45.72,18.54,92.29,6.58,97.56,64.63,9.17,58.61,0
90.02,28.65,98.56,16.29,87.8,119.01,3.52,92.23,4
54.71,18.08,92.69,6.31,97.8,65.73,7.91,62.33,0
96.26,27.76,98.57,18.87,84.44,101.09,3.24,94.58,4
65.62,20.09,94.6,8.6,95.6,73.27,6.25,66.54,1
79.71,23.41,96.8,16.18,87.93,103.17,3.7,85.07,3
66.96,20.63,96.12,9.57,93.46,87.6,5.31,75.59,2
67.9,18.75,94.86,9.56,94.05,71.56,6.9,70.72,1
61.03,18.13,94.04,8.28,95.42,63.15,7.61,63.43,0
57.25,19.27,95.44,9.63,94.08,66.52,6.83,64.09,1
97.39,29.57,98.12,17.55,87.73,117.17,1.92,89.96,4
70.61,19.96,95.98,10.45,93.76,79.65,5.42,72.47,2
91.79,24.43,97.12,12.75,89.99,98.37,4.38,80.88,3
95.48,28.82,98.51,17.58,84.8,101.93,3.73,90.28,4
79.89,20.76,96.65,10.8,92.95,85.8,6.24,69.69,2
89.29,27.77,97.89,18.11,86.94,117.98,1.83,93.38,4
72.84,22.08,96.82,10.66,92.27,85.13,5.58,75.66,2
77.32,22.27,94.98,12.31,94.94,86.75,5.02,79.16,2
90.36,25.66,97.27,14.56,85.46,95.6,2.83,91.99,3
69.48,20.55,95.37,10.3,93.29,84.24,5.36,70.45,2
53.62,16.52,93.43,6.92,97.48,56.26,8.44,63.71,0
55.51,19.27,94.03,9.12,93.84,69.25,6.39,62.13,1
78.2,23.76,96.4,13.94,88.79,91.42,4.45,82.12,3
65.35,19.39,94.97,7.08,93.9,75.88,6.63,69.7,1
87.14,25.33,97.45,15.5,88.1,96.83,4.89,90.67,3
94.8,27.17,98.85,17.75,86.3,110.68,1.95,97.73,4
80.72,23.43,97.9,16.19,91.79,101.15,4.24,84.17,3
65.21,19.51,94.74,7.23,94.59,73.02,6.94,62.39,1
77.41,21.84,96.27,10.11,94.67,82.42,5.59,77.23,2
68.82,22.18,96.78,9.74,91.37,77.93,5.04,80.53,2
69.56,19.2,94.62,5.94,94.55,66.4,7.59,66.22,1
55.53,17.41,92.87,5.75,98.0,63.63,8.03,60.52,0
59.67,18.67,94.54,8.29,96.02,69.47,7.44,61.41,1
57.47,19.21,94.81,8.47,95.76,66.78,7.37,68.6,1
65.88,21.23,95.39,9.25,94.03,88.92,6.26,78.46,2
53.65,17.92,93.77,6.43,97.76,55.63,8.37,56.46,0
91.61,26.1,96.62,14.71,85.83,104.05,2.82,92.65,3
44.0,16.28,93.41,4.79,96.44,62.94,7.81,57.46,0
61.58,19.54,94.61,7.96,94.4,76.7,6.9,67.64,1
48.11,17.87,93.3,5.91,96.45,57.55,8.38,61.42,0
98.24,26.13,98.58,18.12,85.95,107.64,2.28,102.46,4
92.14,24.97,97.32,15.39,88.67,101.88,4.1,81.82,3
87.83,22.57,97.73,12.28,91.59,94.34,3.45,87.87,3
59.3,17.72,93.26,7.71,95.38,69.61,7.07,64.54,0
59.38,18.48,95.02,9.34,95.25,72.02,7.27,62.97,1
97.72,25.82,97.71,18.71,88.33,107.13,3.66,97.72,4
74.94,22.13,96.31,12.98,93.23,83.4,6.13,80.32,2
75.86,20.75,96.52,10.21,94.02,84.46,5.83,76.86,2
94.0,28.67,98.43,19.22,85.87,106.45,2.79,92.82,4
93.65,29.14,98.03,19.34,84.78,100.89,1.72,94.4,4
83.34,22.02,96.55,12.59,89.39,91.82,3.27,88.16,3
59.45,18.33,94.2,7.2,94.75,73.66,6.89,67.74,1
66.83,21.16,96.27,12.25,93.79,86.38,5.26,78.31,2
98.28,27.45,99.05,18.55,84.07,115.56,1.4,92.52,4
62.43,18.43,94.48,8.04,94.36,70.21,7.25,64.51,1
96.38,29.33,98.9,17.45,88.4,109.15,3.4,93.72,4
86.43,22.47,96.93,15.18,88.55,97.85,4.72,86.37,3
94.95,27.07,98.41,17.49,84.23,112.97,1.69,99.94,4
61.68,19.3,94.04,7.93,95.12,67.91,7.4,67.47,1
68.76,18.49,95.15,10.06,95.1,79.48,7.19,62.34,1
